liq,CSR_mean,CSR_sd,qc1_mean,qc1_sd,rf_mean,rf_sd,event
Yes,0.36,0.1,4.46,2.07,1.11,0.06,chichi
Yes,0.59,0.15,3.22,1.19,0.96,0.08,chichi
Yes,0.59,0.16,3.16,0.73,1.84,0.08,chichi
Yes,0.56,0.16,0.99,0.38,2.14,0.12,chichi
Yes,0.6,0.18,2.52,1.36,2.18,0.09,chichi
Yes,0.25,0.07,2.78,0.54,1.08,0.11,chichi
Yes,0.27,0.07,4.95,1.55,0.49,0.06,chichi
Yes,0.24,0.06,5.17,0.7,0.46,0.07,chichi
Yes,0.24,0.06,5.33,1.24,0.6,0.11,chichi
Yes,0.17,0.06,6.83,0.97,0.8,0.18,chichi
Yes,0.25,0.07,4.83,1.49,0.62,0.11,chichi
Yes,0.26,0.07,4.6,1.09,1.3,0.08,chichi
Yes,0.35,0.1,3.31,0.34,2.08,0.12,chichi
Yes,0.37,0.09,2.31,0.87,0.57,0.07,chichi
Yes,0.26,0.11,1.21,0.23,1.96,0.2,chichi
No,0.19,0.07,6.74,0.83,0.3,0.19,chichi
Yes,0.41,0.12,3.25,1.41,0.45,0.03,kokaceli
Yes,0.34,0.1,2.97,1.84,1.17,0.04,kokaceli
Yes,0.36,0.1,2.33,0.47,1.89,0.05,kokaceli
Yes,0.39,0.11,8.1,0.66,0.43,0.07,kokaceli
Yes,0.25,0.07,5.77,2.62,0.77,0.07,kokaceli
Yes,0.44,0.13,3.22,1.87,1.03,0.08,kokaceli
Yes,0.3,0.08,3.54,1.82,0.58,0.04,kokaceli
Yes,0.43,0.13,5.95,2.76,0.41,0.05,kokaceli
Yes,0.38,0.12,4.13,1.44,0.91,0.05,kokaceli
Yes,0.43,0.13,5.03,1.28,0.32,0.04,kokaceli
Yes,0.3,0.18,5.55,2.03,0.58,0.05,kokaceli
Yes,0.42,0.11,3.85,1.04,0.56,0.06,kokaceli
Yes,0.43,0.12,3.77,1.41,0.8,0.05,kokaceli
Yes,0.39,0.11,4.19,1.64,0.91,0.05,kokaceli
Yes,0.29,0.08,2.61,1.24,0.57,0.05,kokaceli
Yes,0.31,0.11,7.83,2.53,0.49,0.12,hyogoken
Yes,0.4,0.17,0.8,0.19,0.8,0.17,hyogoken
Yes,0.28,0.1,8.03,0.54,1.24,0.12,hyogoken
Yes,0.45,0.16,2.93,0.34,0.4,0.11,hyogoken
Yes,0.48,0.15,6.98,0.73,0.87,0.08,hyogoken
Yes,0.42,0.13,5.99,1.15,0.29,0.08,hyogoken
Yes,0.33,0.11,2.38,0.57,1.75,0.1,hyogoken
Yes,0.35,0.12,6.03,0.74,0.78,0.09,hyogoken
Yes,0.28,0.1,2.93,1.44,2.17,0.12,hyogoken
Yes,0.45,0.16,1.63,0.6,0.99,0.13,hyogoken
Yes,0.37,0.12,3.93,2.18,0.41,0.1,hyogoken
Yes,0.38,0.13,7,1.51,0.65,0.07,hyogoken
Yes,0.39,0.13,4.85,0.86,0.39,0.07,hyogoken
Yes,0.4,0.13,2.55,0.88,0.4,0.08,hyogoken
Yes,0.43,0.14,5.3,1.31,0.61,0.1,hyogoken
Yes,0.43,0.14,6.25,1.34,0.74,0.1,hyogoken
Yes,0.42,0.14,9.47,1.6,0.43,0.08,hyogoken
Yes,0.32,0.1,4.71,1.35,0.94,0.08,hyogoken
